aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
25,0.220146468,0.244622697,0.427305298,0.107925537,manymagpie,,
26,0.197914353,0.392795173,0.113651398,0.295639075,Attack Helicopter,,
27,0.306662655,0.155569183,0.069962587,0.467805575,Borys Lang,,
28,0.111104106,0.399053547,0.370328901,0.119513445,Attack Helicopter,,
29,0.207411021,0.102994325,0.331999251,0.357595402,manymagpie,,
30,0.101759411,0.676031895,0.115472344,0.10673635,Attack Helicopter,,
31,0.104238576,0.667061044,0.11908247,0.109617909,Attack Helicopter,,
32,0.28400927,0.035230773,0.246571873,0.434188084,manymagpie,,
33,0.169244824,0.128609828,0.177087979,0.525057369,moonmoth,,
34,0.239720529,0.376779326,0.293346979,0.090153166,Attack Helicopter,,
35,0.116392532,0.507006817,0.112344854,0.264255797,Attack Helicopter,,
36,0.181367578,0.419904626,0.199785427,0.198942369,Attack Helicopter,,
37,0.115570906,0.356383756,0.114613833,0.413431505,Attack Helicopter,,
38,0.114840021,0.464864129,0.112741673,0.307554178,Attack Helicopter,,
39,0.094187331,0.342298431,0.095706279,0.467807958,Attack Helicopter,,
40,0.113114635,0.31522973,0.109566104,0.462089531,moonmoth,,
41,0.845021022,0.051341298,0.05536485,0.04827283,Borys Lang,,
42,0.02904408,0.280257896,0.476257847,0.214440177,manymagpie,,
43,0.536299474,0.160259813,0.11400659,0.189434122,Borys Lang,,
44,0.083249795,0.345843871,0.342249948,0.228656386,Attack Helicopter,,
45,0.55789866,0.148856874,0.18325391,0.109990557,Borys Lang,,
46,0.277844732,0.167061021,0.446033476,0.10906077,manymagpie,,
47,0.070056428,0.35299598,0.094335781,0.482611811,Attack Helicopter,,
48,0.393925108,0.267719324,0.146546834,0.191808734,Borys Lang,,
49,0.242790895,0.163233773,0.439988695,0.153986637,manymagpie,,
50,0.141543409,0.56840876,0.106540624,0.183507207,Attack Helicopter,,
51,0.281989037,0.05465022,0.548534975,0.114825768,Borys Lang,,
52,0.273943408,0.081090182,0.516575353,0.128391057,manymagpie,,
53,0.350992993,0.362144095,0.121411103,0.165451809,Attack Helicopter,,
54,0.275636582,0.274538556,0.296967175,0.152857686,manymagpie,,
55,0.383790684,0.189666835,0.204250632,0.222291848,Borys Lang,,
56,0.14099593,0.272997528,0.420322275,0.165684268,manymagpie,,
57,0.187821222,0.117435312,0.626278981,0.068464485,Borys Lang,,
58,0.337786692,0.272819253,0.245725218,0.143668838,Borys Lang,,
59,0.094142359,0.056141509,0.815245981,0.034470151,Borys Lang,,
60,0.131278809,0.637553169,0.13386941,0.097298611,Attack Helicopter,,
61,0.3736941,0.093955362,0.401888384,0.130462153,manymagpie,,
62,0.122555999,0.569952745,0.107091286,0.20039997,Attack Helicopter,,
63,0.315961266,0.091703496,0.107800332,0.484534907,Borys Lang,,
64,0.167793438,0.429717522,0.249235143,0.153253897,Attack Helicopter,,
65,0.246377911,0.327247318,0.100494883,0.325879888,Attack Helicopter,,
66,0.259921832,0.175505201,0.203632958,0.360940009,moonmoth,,
67,0.149449911,0.170591714,0.481177551,0.198780823,manymagpie,,
68,0.184923421,0.56316575,0.114463813,0.137447016,Attack Helicopter,,
69,0.441206442,0.166813971,0.154216472,0.237763115,Borys Lang,,
