nonself,,,,,,,
aiA,User1,User2,User3,user,,,
72,0.136032,0.192589,0.149535,0.168035,0.35381,Bobby,
73,0.136756,0.427847,0.123032,0.193388,0.118976,Gary,
74,0.60724,0.093004,0.084982,0.133063,0.081711,Mary,
75,0.337601,0.303504,0.08327,0.186678,0.088947,Ursula,
76,0.138134,0.146424,0.163715,0.267705,0.284023,Bobby,
77,0.205566,0.304209,0.152911,0.248353,0.088961,Mary,
78,0.202557,0.181669,0.325261,0.189781,0.100732,Bobby,
79,0.084579,0.073296,0.120971,0.649208,0.071947,Alex,
80,0.155045,0.149825,0.198562,0.252843,0.243725,Daisy,
81,0.319196,0.340501,0.137677,0.061138,0.141487,Mary,
82,0.16739,0.185824,0.240344,0.167981,0.23846,Ursula,
83,0.162973,0.241054,0.169312,0.123326,0.303336,Bobby,
84,0.227833,0.101334,0.220672,0.090306,0.359855,Mary,
85,0.254918,0.094677,0.390409,0.187068,0.072927,Alex,
86,0.159639,0.192994,0.259096,0.095739,0.292532,Bobby,
87,0.156791,0.185759,0.209525,0.257202,0.190724,Ursula,
88,0.169169,0.159497,0.233559,0.224679,0.213097,Bobby,
89,0.379072,0.077414,0.106408,0.08488,0.352227,Mary,
90,0.370043,0.096014,0.314046,0.114022,0.105876,Alex,
91,0.41953,0.109588,0.160741,0.127006,0.183136,Mary,
92,0.200604,0.164228,0.212153,0.259828,0.163188,Bobby,
93,0.287453,0.18852,0.129479,0.222452,0.172097,Mary,
94,0.193602,0.127774,0.348268,0.100458,0.229898,Alex,
95,0.160214,0.200141,0.086703,0.244853,0.308088,Gary,
96,0.156203,0.105937,0.290648,0.158172,0.28904,Bobby,
97,0.136284,0.142263,0.312024,0.19952,0.209909,Daisy,
98,0.202037,0.095183,0.203525,0.140913,0.358341,Mary,
99,0.084444,0.156562,0.444661,0.148327,0.166006,Ursula,
100,0.033523,0.034368,0.049936,0.024442,0.857731,Bobby,
101,0.190921,0.210884,0.226616,0.142935,0.228644,Mary,
